,Exercise ,Difficulty Level,Target Muscle Group ,Primary Equipment ,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Combination Exercises,Mechanics
,Stability Ball Dead Bug,Beginner,Abdominals,Stability Ball,Supine,Single Arm,Alternating,Neutral,Single Exercise,Compound
,Glute Bridge,Beginner,Glutes,Bodyweight,Bridge,No Arms,Continuous,No Grip,Single Exercise,Compound
,Bird Dog,Beginner,Abdominals,Bodyweight,Quadruped,Single Arm,Alternating,Flat Palm,Single Exercise,Compound
,Stability Ball Seated Russian Twist ,Beginner,Abdominals,Stability Ball,Seated,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Stability Ball Feet Elevated Crunch ,Beginner,Abdominals,Stability Ball,Supine,No Arms,Continuous,Head Supported,Single Exercise,Isolation
,Ring Hanging Knee Raise ,Intermediate,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Parallette Mountain Climber,Novice,Abdominals,Parallette Bars,Prone,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Parallette Push Up,Novice,Chest,Parallette Bars,Prone,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Knee Hover Bird Dog,Intermediate,Abdominals,Bodyweight,Knee Hover Quadruped,Single Arm,Alternating,Flat Palm,Single Exercise,Compound
,Stability Ball Pass,Novice,Abdominals,Stability Ball,Supine,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Dead Bug,Beginner,Abdominals,Bodyweight,Supine,Single Arm,Alternating,No Grip,Single Exercise,Compound
,Alternating Heel Taps,Beginner,Abdominals,Bodyweight,Supine,Double Arm,Alternating,No Grip,Single Exercise,Compound
,Flutter Kicks,Beginner,Abdominals,Bodyweight,Supine,No Arms,Continuous,No Grip,Single Exercise,Compound
,Kneeling Plank,Beginner,Abdominals,Bodyweight,Prone,Double Arm,Continuous,Forearm,Single Exercise,Compound
,Seated Ab Circles,Novice,Abdominals,Bodyweight,Seated,No Arms,Continuous,Flat Palm,Single Exercise,Compound
,Ring Hanging Oblique Knee Raise,Intermediate,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Stability Ball Stir The Pot,Novice,Abdominals,Stability Ball,Prone,Double Arm,Continuous,Forearm,Single Exercise,Compound
,Alternating Side Kick Through,Intermediate,Abdominals,Bodyweight,Knee Hover Quadruped,Double Arm,Alternating,Flat Palm,Single Exercise,Compound
,Ring L Hang Flutter Kicks ,Intermediate,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Slam Ball Russian Twist,Intermediate,Abdominals,Slam Ball,Seated,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Dumbbell Otis Up,Novice,Abdominals,Dumbbell,Supine,Double Arm,Continuous,Crush Grip,Single Exercise,Compound
,Single Arm Dumbbell Side Plank Reach Through ,Advanced,Abdominals,Dumbbell,Side Plank,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Ab Wheel Kneeling Rollout,Novice,Abdominals,Ab Wheel,Prone,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Cable Seated Crunch,Novice,Abdominals,Cable,Seated,Double Arm,Continuous,Neutral,Single Exercise,Isolation
,Cable Kneeling Crunch,Novice,Abdominals,Cable,Kneeling,Double Arm,Continuous,Neutral,Single Exercise,Isolation
,Medicine Ball V-Up,Novice,Abdominals,Medicine Ball,V Sit Seated,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Suspension Knee Tuck,Novice,Abdominals,Suspension Trainer,Prone,Double Arm,Continuous,Flat Palm,Single Exercise,Compound
,Suspension Lateral Knee Tuck,Intermediate,Abdominals,Suspension Trainer,Prone,Double Arm,Continuous,Flat Palm,Single Exercise,Compound
,Push Up Alternating Kick Through,Intermediate,Chest,Bodyweight,Prone,Double Arm,Alternating,Flat Palm,Single Exercise,Compound
,Single Arm Dumbbell Turkish Get Up,Intermediate,Abdominals,Dumbbell,Supine,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Bear Crawl,Novice,Abdominals,Bodyweight,Knee Hover Quadruped,Double Arm,Alternating,Flat Palm,Single Exercise,Compound
,Stability Ball Knee Tuck,Novice,Abdominals,Stability Ball,Prone,Double Arm,Continuous,Flat Palm,Single Exercise,Compound
,Ring Hanging Leg Raise ,Advanced,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Parallette L Sit,Advanced,Abdominals,Parallette Bars,L Sit,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Standing Walkout Plank,Intermediate,Abdominals,Bodyweight,Standing,Double Arm,Alternating,Flat Palm,Single Exercise,Compound
,Standing Walkout Push-Up ,Intermediate,Chest,Bodyweight,Prone,Double Arm,Alternating,Flat Palm,Single Exercise,Compound
,Barbell Climb,Expert,Abdominals,Barbell,Standing,Double Arm,Alternating,Neutral,Single Exercise,Compound
,Ipsilateral Bird Dog,Expert,Abdominals,Bodyweight,Quadruped,Single Arm,Continuous,Flat Palm,Single Exercise,Compound
,Copenhagen Plank Knee to Elbow,Expert,Adductors,Bodyweight,Side Plank,Single Arm,Continuous,Forearm,Single Exercise,Compound
,Ring Dead Hang,Beginner,Back,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Suspension Archer Row ,Novice,Shoulders,Suspension Trainer,Standing,Double Arm,Alternating,Neutral,Single Exercise,Compound
,Suspension Alternating Archer Row Hold ,Novice,Shoulders,Suspension Trainer,Standing,Double Arm,Alternating,Neutral,Single Exercise,Compound
,Ring Pull Up Eccentrics ,Novice,Back,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Ring Pull Up,Intermediate,Back,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Ring Chin Up Eccentrics ,Novice,Biceps,Gymnastic Rings,Hanging,Double Arm,Continuous,Supinated,Single Exercise,Compound
,Miniband Fire Hydrant,Beginner,Glutes,Miniband,Quadruped,No Arms,Continuous,Flat Palm,Single Exercise,Isolation
,Medicine Ball Russian Twist,Novice,Abdominals,Medicine Ball,Seated,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Side Plank,Novice,Abdominals,Bodyweight,Side Plank,Single Arm,Continuous,Forearm,Single Exercise,Compound
,Cable Reverse Ankle Strap Crunch,Intermediate,Abdominals,Cable,Supine,No Arms,Continuous,No Grip,Single Exercise,Compound
,Cable Half Kneeling High to Low Chop,Intermediate,Abdominals,Cable,Half Kneeling,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Cable Half Kneeling Low to High Chop,Intermediate,Abdominals,Cable,Half Kneeling,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Kettlebell Half Kneeling Low to High Chop,Intermediate,Abdominals,Kettlebell,Half Kneeling,Double Arm,Continuous,Horn Grip,Single Exercise,Compound
,Cable Standing High to Low Chop ,Intermediate,Abdominals,Cable,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Cable Standing Low to High Chop,Intermediate,Abdominals,Cable,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Dumbbell Windmill,Intermediate,Abdominals,Dumbbell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Kettlebell Windmill,Intermediate,Abdominals,Kettlebell,Standing,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Kettlebell Russian Twist,Novice,Abdominals,Kettlebell,Seated,Double Arm,Continuous,Horn Grip,Single Exercise,Compound
,Feet On Wall Mountain Climber ,Expert,Abdominals,Bodyweight,Prone,Double Arm,Continuous,Flat Palm,Single Exercise,Compound
,Alternating Single Arm Kettlebell Plank Pull Through,Intermediate,Abdominals,Kettlebell,Prone,Single Arm,Alternating,Pronated,Single Exercise,Compound
,Hollow Body Hold,Intermediate,Abdominals,Bodyweight,Supine,Double Arm,Continuous,No Grip,Single Exercise,Compound
,Dumbbell Crush Grip Hollow Body Hold,Intermediate,Abdominals,Dumbbell,Supine,Double Arm,Continuous,Crush Grip,Single Exercise,Compound
,Inverted Hanging Crunch,Expert,Abdominals,Bodyweight,Inverted ,No Arms,Continuous,Head Supported,Single Exercise,Compound
,Inverted Hanging Oblique Crunch,Expert,Abdominals,Bodyweight,Inverted ,No Arms,Continuous,Head Supported,Single Exercise,Compound
,Single Arm Kettlebell Single Leg Standing Bent Knee Around The World ,Intermediate,Abdominals,Kettlebell,Single Leg Standing Bent Knee,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Supine Alternating Single Leg Raise,Beginner,Abdominals,Bodyweight,Supine,No Arms,Continuous,No Grip,Single Exercise,Compound
,Supine Leg Raise,Novice,Abdominals,Bodyweight,Supine,No Arms,Continuous,No Grip,Single Exercise,Compound
,Miniband Bicycle Crunch,Novice,Abdominals,Miniband,Supine,No Arms,Alternating,Head Supported,Single Exercise,Compound
,Side Plank Reach Through,Novice,Abdominals,Bodyweight,Side Plank,Single Arm,Continuous,Forearm,Single Exercise,Compound
,Sit Up,Novice,Abdominals,Bodyweight,Supine,No Arms,Continuous,Head Supported,Single Exercise,Compound
,Butterfly Sit Up,Intermediate,Abdominals,Bodyweight,Supine,No Arms,Continuous,Head Supported,Single Exercise,Compound
,Slider Mountain Climber,Novice,Abdominals,Sliders,Prone,Double Arm,Continuous,Flat Palm,Single Exercise,Compound
,Slider Pike ,Advanced,Abdominals,Sliders,Prone,Double Arm,Continuous,Flat Palm,Single Exercise,Compound
,Stability Ball Pike,Advanced,Abdominals,Stability Ball,Prone,Double Arm,Continuous,Flat Palm,Single Exercise,Compound
,Slider Wide Mountain Climber,Intermediate,Abdominals,Sliders,Prone,Double Arm,Continuous,Flat Palm,Single Exercise,Compound
,Stability Ball Crunch,Beginner,Abdominals,Stability Ball,Supine,No Arms,Continuous,Head Supported,Single Exercise,Compound
,Stability Ball Feet Elevated Oblique Crunch,Beginner,Abdominals,Stability Ball,Supine,No Arms,Continuous,Head Supported,Single Exercise,Isolation
,Stability Ball Kneeling Rollout,Beginner,Abdominals,Stability Ball,Prone,Double Arm,Continuous,Forearm,Single Exercise,Compound
,Stability Ball Single Leg Knee Tuck,Advanced,Abdominals,Stability Ball,Prone,Double Arm,Continuous,Flat Palm,Single Exercise,Compound
,Stability Ball Single Leg Pike,Expert,Abdominals,Stability Ball,Prone,Double Arm,Continuous,Flat Palm,Single Exercise,Compound
,Parallette Kneeling Push Up,Novice,Chest,Parallette Bars,Kneeling,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Kettlebell Swing,Novice,Glutes,Kettlebell,Standing,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Dumbbell Romanian Deadlift,Beginner,Hamstrings,Dumbbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Dumbbell Side Plank,Intermediate,Abdominals,Dumbbell,Side Plank,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Leg Glute Bridge,Novice,Glutes,Bodyweight,Single Leg Bridge,No Arms,Continuous,No Grip,Single Exercise,Compound
,Dumbbell Glute Bridge,Beginner,Glutes,Dumbbell,Bridge,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Glute Bridge Alternating Single Leg Extension,Beginner,Glutes,Bodyweight,Single Leg Bridge,No Arms,Continuous,No Grip,Single Exercise,Compound
,Miniband Side Lying Clamshell,Beginner,Glutes,Miniband,Side Lying,No Arms,Continuous,No Grip,Single Exercise,Isolation
,Miniband Side Lying Hip Abduction,Beginner,Abductors,Miniband,Side Lying,No Arms,Continuous,No Grip,Single Exercise,Isolation
,Miniband Bench Seated Hip Abduction,Beginner,Abductors,Miniband,Seated,No Arms,Continuous,No Grip,Single Exercise,Isolation
,Miniband Glute Bridge With Hip Abduction,Beginner,Glutes,Miniband,Bridge,No Arms,Continuous,No Grip,Single Exercise,Compound
,Stability Ball Hip Thrust,Beginner,Glutes,Stability Ball,Bridge,No Arms,Continuous,No Grip,Single Exercise,Compound
,Stability Ball Dumbbell Hip Thrust,Beginner,Glutes,Stability Ball,Bridge,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Bodyweight Frog Pump,Beginner,Glutes,Bodyweight,Bridge,No Arms,Continuous,No Grip,Single Exercise,Compound
,Dumbbell Frog Pump,Beginner,Glutes,Dumbbell,Bridge,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Cable Glute Kickback,Novice,Glutes,Cable,Standing,No Arms,Continuous,Hand Assisted,Single Exercise,Isolation
,Foot Elevated Single Leg Glute Bridge,Novice,Glutes,Bodyweight,Single Leg Bridge,No Arms,Continuous,No Grip,Single Exercise,Compound
,Suspension Glute Bridge,Novice,Glutes,Suspension Trainer,Bridge,No Arms,Continuous,No Grip,Single Exercise,Compound
,Miniband Thigh Lateral Walk,Beginner,Abductors,Miniband,Walking,No Arms,Continuous,No Grip,Single Exercise,Compound
,Miniband Shin Lateral Walk,Novice,Abductors,Miniband,Walking,No Arms,Continuous,No Grip,Single Exercise,Compound
,Miniband Feet Lateral Walk,Intermediate,Abductors,Miniband,Walking,No Arms,Continuous,No Grip,Single Exercise,Compound
